fecha_consulta,partido,liga,hora_partido,cuota_1,casa_1,cuota_X,casa_X,cuota_2,casa_2,cuota_over25,casa_over25,cuota_under25,casa_under25
2026-05-22T22:21:59,Toronto Blue Jays vs Pittsburgh Pirates,MLB,14:08,,,,,,,,,,
2026-05-22T22:21:59,Baltimore Orioles vs Detroit Tigers,MLB,15:06,,,,,,,,,,
2026-05-22T22:21:59,San Francisco Giants vs Chicago White Sox,MLB,15:06,,,,,,,,,,
2026-05-22T22:21:59,Philadelphia Phillies vs Cleveland Guardians,MLB,15:06,,,,,,,,,,
2026-05-22T22:21:59,Atlanta Braves vs Washington Nationals,MLB,15:11,,,,,,,,,,
2026-05-22T22:21:59,Kansas City Royals vs Seattle Mariners,MLB,15:11,,,,,,,,,,
2026-05-22T22:21:59,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:16,,,,,,,,,,
2026-05-22T22:21:59,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T22:21:59,Los Angeles Angels vs Texas Rangers,MLB,21:06,,,,,,,,,,
2026-05-22T22:21:59,Arizona Diamondbacks vs Colorado Rockies,MLB,21:11,,,,,,,,,,
2026-05-22T22:21:59,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T22:21:59,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T22:21:59,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T22:21:59,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T22:21:59,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T22:21:59,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T22:21:59,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T22:21:59,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T22:21:59,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T22:21:59,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T22:34:56,Cleveland Cavaliers vs New York Knicks,NBA,00:10,,,,,,,,,,
2026-05-22T22:34:56,Toronto Blue Jays vs Pittsburgh Pirates,MLB,19:08,,,,,,,,,,
2026-05-22T22:34:56,Baltimore Orioles vs Detroit Tigers,MLB,20:06,,,,,,,,,,
2026-05-22T22:34:56,San Francisco Giants vs Chicago White Sox,MLB,20:06,,,,,,,,,,
2026-05-22T22:34:56,Philadelphia Phillies vs Cleveland Guardians,MLB,20:06,,,,,,,,,,
2026-05-22T22:34:56,Atlanta Braves vs Washington Nationals,MLB,20:11,,,,,,,,,,
2026-05-22T22:34:56,Kansas City Royals vs Seattle Mariners,MLB,20:11,,,,,,,,,,
